Year,State,Net_Overseas_Migration,Population,Net_Migration_per_1000
1993,New South Wales,3909.0,6003827.25,0.6510846893537785
1993,Northern Territory,27.0,172375.25,0.15663501575777267
1993,Queensland,1041.5,3106086.25,0.3353094267746107
1993,South Australia,457.0,1459483.75,0.31312441813757774
1993,Tasmania,29.75,472352.0,0.062982690874602
1993,Victoria,1999.25,4464390.75,0.4478214636566031
1993,Western Australia,1390.0,1682073.0,0.826361281585282
1994,Australian Capital Territory,-118.0,302507.5,-0.3900729733973538
1994,New South Wales,6394.75,6054211.25,1.0562482437328231
1994,Northern Territory,78.75,175362.25,0.4490704242218607
1994,Queensland,1677.25,3175239.0,0.5282279538642602
1994,South Australia,467.25,1463334.25,0.31930503915971353
1994,Tasmania,53.0,473672.5,0.11189165509925107
1994,Victoria,3333.25,4476645.5,0.7445865436519375
1994,Western Australia,1990.25,1708813.0,1.164697365949346
1995,Australian Capital Territory,194.5,306282.0,0.6350356860670885
1995,New South Wales,12040.5,6115522.25,1.9688424811143481
1995,Northern Territory,168.0,180455.25,0.930978732954569
1995,Queensland,3427.5,3245638.5,1.0560325803381985
1995,South Australia,978.0,1465616.75,0.6672958670812134
1995,Tasmania,101.5,474753.75,0.21379504637930716
1995,Victoria,6544.0,4503172.0,1.4531978791838287
1995,Western Australia,3262.0,1740173.5,1.8745257297620035
1996,Australian Capital Territory,33.25,309755.75,0.1073426401285529
1996,New South Wales,11082.5,6186766.5,1.7913234643654323
1996,Northern Territory,143.25,185486.5,0.7722934014065713
1996,Queensland,3177.5,3310469.25,0.9598337154166287
1996,South Australia,869.0,1469838.25,0.5912215170614862
1996,Tasmania,113.75,475536.75,0.23920338438616995
1996,Victoria,5858.0,4539985.25,1.2903125621388307
1996,Western Australia,3085.0,1772165.25,1.7408083134459384
1997,Australian Capital Territory,-96.25,310495.5,-0.3099883895257741
1997,New South Wales,7428.75,6254100.75,1.1878206471170136
1997,Northern Territory,103.25,189982.75,0.5434703940226152
1997,Queensland,2951.75,3362193.0,0.8779240216132744
1997,South Australia,712.5,1476618.5,0.48252138246947335
1997,Tasmania,-0.75,474773.75,-0.0015796998043805075
1997,Victoria,4304.25,4574746.0,0.9408719085168882
1997,Western Australia,2700.25,1801853.5,1.498595751541399
1998,Australian Capital Territory,-8.25,311647.5,-0.026472216205809446
1998,New South Wales,8807.0,6315990.0,1.3943973945493897
1998,Northern Territory,210.25,193264.75,1.087885918151137
1998,Queensland,3120.5,3410387.0,0.914998796324288
1998,South Australia,782.0,1484257.25,0.5268628467201356
1998,Tasmania,128.25,473573.0,0.27081358101074177
1998,Victoria,5887.0,4613623.75,1.2760034885809661
1998,Western Australia,3269.5,1830508.25,1.7861159598707081
1999,Australian Capital Territory,-121.75,314475.25,-0.38715288405049364
1999,New South Wales,10958.5,6384681.5,1.7163737924906668
1999,Northern Territory,266.75,196456.75,1.3578052166698267
1999,Queensland,4292.75,3460891.25,1.2403596905854815
1999,South Australia,922.25,1492227.75,0.6180356852363857
1999,Tasmania,28.75,473173.5,0.06075995380130122
1999,Victoria,6211.5,4660205.25,1.3328812073245058
1999,Western Australia,3498.0,1857634.25,1.8830402163396804
2000,Australian Capital Territory,87.75,317746.5,0.2761635454678494
2000,New South Wales,11836.25,6457269.75,1.8330115448560902
2000,Northern Territory,175.0,199328.5,0.877947709434426
2000,Queensland,3979.25,3516930.25,1.1314554788227602
2000,South Australia,681.5,1498348.5,0.45483410568369104
2000,Tasmania,-2.0,473165.25,-0.00422685309202229
2000,Victoria,7365.75,4712229.0,1.5631137620858409
2000,Western Australia,3741.25,1883019.75,1.9868352416378001
2001,Australian Capital Territory,208.75,321720.0,0.6488561482034066
2001,New South Wales,14297.5,6536892.0,2.187201501875815
2001,Northern Territory,199.0,201569.5,0.987252535725891
2001,Queensland,6880.75,3582526.75,1.9206416253556238
2001,South Australia,827.5,1504644.25,0.5499638868124476
2001,Tasmania,132.25,473687.5,0.27919250560759995
2001,Victoria,7390.5,4770901.0,1.5490784654722451
2001,Western Australia,4086.75,1909383.75,2.1403502569873654
2002,Australian Capital Territory,193.5,325004.75,0.5953759137366453
2002,New South Wales,10223.0,6586550.75,1.5521022137421472
2002,Northern Territory,102.0,201937.25,0.5051074034136842
2002,Queensland,6983.25,3665558.75,1.9050983700643183
2002,South Australia,667.25,1512741.25,0.44108666964690757
2002,Tasmania,131.25,474748.5,0.2764621689168054
2002,Victoria,5907.25,4825530.25,1.2241659867327535
2002,Western Australia,3414.5,1931258.5,1.768018108399264
2003,Australian Capital Territory,182.25,327355.75,0.556733767468572
2003,New South Wales,8848.25,6624618.5,1.3356618196202543
2003,Northern Territory,141.0,201570.5,0.6995071203375495
2003,Queensland,6265.0,3755007.25,1.6684388558770427
2003,South Australia,1061.0,1521472.25,0.6973508718282572
2003,Tasmania,215.0,479337.5,0.44853573943202857
2003,Victoria,6642.25,4881506.25,1.3606968136115773
2003,Western Australia,4179.75,1956283.0,2.1365773765861076
2004,Australian Capital Territory,75.25,329032.25,0.2287009859975732
2004,New South Wales,7917.25,6657159.25,1.189283552139751
2004,Northern Territory,230.5,203014.0,1.1353896775591832
2004,Queensland,6438.5,3840773.5,1.6763550362967252
2004,South Australia,1267.75,1529566.5,0.8288296062969476
2004,Tasmania,231.75,483682.25,0.479136871365447
2004,Victoria,6952.0,4936431.25,1.4083048356036558
2004,Western Australia,3493.5,1983610.25,1.7611826718479602
2005,Australian Capital Territory,168.5,331999.25,0.5075312670134045
2005,New South Wales,9395.0,6701133.25,1.4020016688968244
2005,Northern Territory,271.75,206236.5,1.3176620045433278
2005,Queensland,8044.25,3930028.5,2.0468681079539244
2005,South Australia,2183.75,1540614.5,1.4174538796045344
2005,Tasmania,260.5,486737.0,0.5351966256931361
2005,Victoria,8952.25,4999258.0,1.7907157422161448
2005,Western Australia,4980.0,2016536.5,2.469580887824247
2006,Australian Capital Territory,257.75,336099.25,0.7668865669887689
2006,New South Wales,13752.75,6757627.75,2.03514465560788
2006,Northern Territory,380.0,209679.25,1.8122918696055998
2006,Queensland,9063.25,4020767.5,2.2541094455225275
2006,South Australia,3077.75,1555324.0,1.9788481371084097
2006,Tasmania,321.0,490077.75,0.6549981099937714
2006,Victoria,12144.5,5074257.75,2.3933549690099998
2006,Western Australia,6550.75,2058482.5,3.1823199857176343
2007,Australian Capital Territory,469.25,342676.25,1.3693683177634868
2007,New South Wales,19224.25,6848275.75,2.8071664608423514
2007,Northern Territory,344.25,214479.5,1.6050485011388034
2007,Queensland,11920.25,4122624.25,2.891422860087237
2007,South Australia,3457.25,1572712.75,2.198271744156713
2007,Tasmania,367.25,494073.0,0.7433112110963359
2007,Victoria,16618.0,5166403.5,3.2165509333523796
2007,Western Australia,8606.75,2113888.5,4.071525059150471
2008,Australian Capital Territory,831.25,348872.25,2.3826773267291967
2008,New South Wales,24106.75,6959386.25,3.463918962681515
2008,Northern Territory,492.5,220444.0,2.2341274881602584
2008,Queensland,15710.0,4233631.5,3.7107622616659004
2008,South Australia,4404.25,1591169.5,2.7679326432539084
2008,Tasmania,522.25,499489.0,1.0455685710796434
2008,Victoria,20806.25,5272302.25,3.946331035934065
2008,Western Australia,12047.25,2181940.5,5.521346709500098
2009,Australian Capital Territory,917.0,355576.25,2.5789123992392633
2009,New South Wales,17541.0,7066714.25,2.4822002672599925
2009,Northern Territory,422.5,226246.75,1.8674301398804625
2009,Queensland,11831.25,4337991.25,2.7273568152079606
2009,South Australia,4293.25,1611553.75,2.6640439389626316
2009,Tasmania,481.5,504928.25,0.9536008333857335
2009,Victoria,18021.75,5384432.25,3.3470102627811875
2009,Western Australia,8210.25,2246417.25,3.6548196912216553
2010,Australian Capital Territory,500.25,362449.5,1.3801922750617672
2010,New South Wales,12511.0,7153816.25,1.7488567727749507
2010,Northern Territory,271.75,229784.25,1.1826310985195896
2010,Queensland,7917.5,4412724.25,1.794243091441755
2010,South Australia,2723.5,1628516.75,1.6723807108523752
2010,Tasmania,307.5,509182.25,0.6039095039153466
2010,Victoria,10803.5,5470173.5,1.9749830604093268
2010,Western Australia,7974.25,2298478.0,3.4693610293420254
2011,Australian Capital Territory,762.75,369170.0,2.066121299130482
2011,New South Wales,13541.25,7230379.0,1.8728271367240916
2011,Northern Territory,517.25,231762.25,2.2318129893889105
2011,Queensland,10230.5,4487875.5,2.2795864100953778
2011,South Australia,2608.0,1641739.5,1.5885589644398517
2011,Tasmania,311.75,511587.5,0.6093776724411758
2011,Victoria,12765.5,5553668.75,2.298570652057705
2011,Western Australia,10819.25,2361644.75,4.581235175188817
2012,Australian Capital Territory,888.75,377447.5,2.3546321011531406
2012,New South Wales,15783.75,7317507.25,2.1569845386897293
2012,Northern Territory,1029.75,236608.75,4.352121381817029
2012,Queensland,11816.0,4579426.0,2.5802360383157192
2012,South Australia,2968.5,1658180.25,1.7902155088386804
2012,Tasmania,395.5,511778.0,0.772796017023006
2012,Victoria,14688.25,5666612.75,2.5920687804191314
2012,Western Australia,12491.25,2433495.0,5.133049379596013
2013,Australian Capital Territory,662.0,384086.75,1.7235689593561871
2013,New South Wales,16895.75,7418207.75,2.277605395993392
2013,Northern Territory,798.25,241608.5,3.303898662505665
2013,Queensland,8365.5,4660869.25,1.7948368751172328
2013,South Australia,3033.5,1673227.25,1.8129635409655203
2013,Tasmania,447.75,512499.0,0.8736602412882757
2013,Victoria,14625.75,5788667.0,2.5266179588495934
2013,Western Australia,7265.25,2490164.75,2.9175780437820427
2014,Australian Capital Territory,803.25,389906.0,2.0601119244125505
2014,New South Wales,17088.0,7523658.75,2.2712353879686527
2014,Northern Territory,285.25,242909.5,1.1743056570451134
2014,Queensland,5758.25,4726679.0,1.2182443529590226
2014,South Australia,2743.5,1688432.25,1.6248801217816113
2014,Tasmania,431.25,513810.0,0.8393180358498278
2014,Victoria,14598.25,5912284.75,2.4691385170512974
2014,Western Australia,3878.0,2520706.25,1.5384577239017834
2015,Australian Capital Territory,817.5,396679.5,2.060857694940122
2015,New South Wales,18209.5,7632156.0,2.385892007448485
2015,Northern Territory,386.0,244102.75,1.581301316761077
2015,Queensland,4870.0,4784646.0,1.0178391463025687
2015,South Australia,2812.75,1702185.25,1.652434715904159
2015,Tasmania,353.25,515330.0,0.685483088506394
2015,Victoria,16047.75,6042033.5,2.6560180442561268
2015,Western Australia,3185.25,2542632.5,1.2527370746657254
2016,Australian Capital Territory,961.75,404923.75,2.3751385291675287
2016,New South Wales,24050.5,7750952.5,3.1029089650594557
2016,Northern Territory,521.75,245703.25,2.123496534946119
2016,Queensland,8106.75,4854983.0,1.6697792762611117
2016,South Australia,3026.75,1715008.0,1.764860572078964
2016,Tasmania,569.25,518990.5,1.0968408862975334
2016,Victoria,20727.0,6188358.0,3.3493537380998317
2016,Western Australia,2990.75,2561145.5,1.1677392010723326
2017,Australian Capital Territory,1087.0,416563.25,2.609447664910431
2017,New South Wales,23732.0,7868619.25,3.016031052716142
2017,Northern Territory,310.5,247004.75,1.2570608459958765
2017,Queensland,6909.25,4934711.0,1.4001326521451813
2017,South Australia,3025.75,1730658.75,1.7483227123775844
2017,Tasmania,642.75,528061.75,1.2171871944900385
2017,Victoria,21783.0,6318221.75,3.4476472751213585
2017,Western Australia,2925.5,2589765.5,1.1296389576585215
2018,Australian Capital Territory,954.0,427266.5,2.232798499297277
2018,New South Wales,23221.5,7969313.25,2.913864629427134
2018,Northern Territory,139.0,246673.75,0.5634973320022905
2018,Queensland,8434.25,5016638.75,1.6812552029982226
2018,South Australia,3491.0,1748989.0,1.9960102665025339
2018,Tasmania,791.25,538803.25,1.4685323445988865
2018,Victoria,22384.25,6439073.75,3.4763152076026462
2018,Western Australia,3637.5,2623159.25,1.3866866832427347
2019,Australian Capital Territory,558.25,437107.75,1.2771450517635525
