Year,Country_Grouped,Migration
2004-05,Others,68470
2004-05,"UK, CIs & IOM",22470
2004-05,China,19090
2004-05,New Zealand,16870
2004-05,India,16340
2004-05,South Africa,5500
2004-05,Philippines,5320
2004-05,Sri Lanka,2810
2004-05,Vietnam,2540
2004-05,Pakistan,1480
2004-05,Nepal,410
2005-06,Others,74440
2005-06,"UK, CIs & IOM",27690
2005-06,India,21820
2005-06,China,19970
2005-06,New Zealand,18090
2005-06,South Africa,7530
2005-06,Philippines,6650
2005-06,Sri Lanka,3800
2005-06,Vietnam,3740
2005-06,Pakistan,1860
2005-06,Nepal,930
2006-07,Others,91380
2006-07,India,37080
2006-07,"UK, CIs & IOM",31720
2006-07,China,27880
2006-07,New Zealand,22100
2006-07,Philippines,9370
2006-07,South Africa,8450
2006-07,Vietnam,5360
2006-07,Sri Lanka,5250
2006-07,Nepal,4130
2006-07,Pakistan,2920
2007-08,Others,97150
2007-08,India,49780
2007-08,China,36340
2007-08,"UK, CIs & IOM",33410
2007-08,New Zealand,27730
2007-08,Philippines,11900
2007-08,South Africa,11080
2007-08,Nepal,7960
2007-08,Vietnam,7490
2007-08,Sri Lanka,6750
2007-08,Pakistan,3070
2008-09,Others,100030
2008-09,India,59960
2008-09,China,33590
2008-09,"UK, CIs & IOM",30030
2008-09,New Zealand,23150
2008-09,South Africa,12870
2008-09,Philippines,12110
2008-09,Nepal,11250
2008-09,Vietnam,9150
2008-09,Sri Lanka,6570
2008-09,Pakistan,3530
2009-10,Others,78140
2009-10,China,28340
2009-10,India,24060
2009-10,"UK, CIs & IOM",20860
2009-10,New Zealand,15780
2009-10,Philippines,9030
2009-10,Vietnam,6800
2009-10,South Africa,5820
2009-10,Sri Lanka,4670
2009-10,Pakistan,3570
2009-10,Nepal,2740
2010-11,Others,79000
2010-11,New Zealand,29040
2010-11,"UK, CIs & IOM",24820
2010-11,China,17680
2010-11,Philippines,9620
2010-11,India,9230
2010-11,South Africa,6280
2010-11,Vietnam,4780
2010-11,Pakistan,3830
2010-11,Sri Lanka,3560
2010-11,Nepal,740
2011-12,Others,101720
2011-12,New Zealand,34540
2011-12,"UK, CIs & IOM",31430
2011-12,India,18760
2011-12,China,15510
2011-12,Philippines,14550
2011-12,South Africa,6950
2011-12,Pakistan,5220
2011-12,Vietnam,4720
2011-12,Sri Lanka,4580
2011-12,Nepal,2080
2012-13,Others,101920
2012-13,"UK, CIs & IOM",25020
2012-13,New Zealand,24740
2012-13,India,23670
2012-13,China,22580
2012-13,Philippines,14210
2012-13,Vietnam,7990
2012-13,Pakistan,6250
2012-13,South Africa,5520
2012-13,Sri Lanka,5140
2012-13,Nepal,3180
2013-14,Others,80290
2013-14,India,33340
2013-14,China,30800
2013-14,Philippines,12830
2013-14,"UK, CIs & IOM",12260
2013-14,Vietnam,8750
2013-14,Nepal,7310
2013-14,New Zealand,7240
2013-14,Pakistan,6850
2013-14,Sri Lanka,3770
2013-14,South Africa,3710
2014-15,Others,78340
2014-15,China,39070
2014-15,India,38400
2014-15,Philippines,12430
2014-15,"UK, CIs & IOM",9400
2014-15,Vietnam,7320
2014-15,Pakistan,7230
2014-15,Nepal,6410
2014-15,Sri Lanka,4120
2014-15,South Africa,3460
2014-15,New Zealand,930
2015-16,Others,86980
2015-16,China,45480
2015-16,India,40860
2015-16,Philippines,13000
2015-16,"UK, CIs & IOM",9140
2015-16,Nepal,7970
2015-16,Vietnam,7830
2015-16,Pakistan,6730
2015-16,Sri Lanka,4200
2015-16,South Africa,4080
2015-16,New Zealand,1480
2016-17,Others,112600
2016-17,China,50020
2016-17,India,49730
2016-17,Nepal,14880
2016-17,Philippines,13590
2016-17,"UK, CIs & IOM",10460
2016-17,Vietnam,8120
2016-17,Pakistan,6990
2016-17,South Africa,5580
2016-17,Sri Lanka,5510
2016-17,New Zealand,1850
2017-18,Others,83550
2017-18,India,55860
2017-18,China,44610
2017-18,Nepal,21000
2017-18,Philippines,12620
2017-18,Pakistan,7840
2017-18,"UK, CIs & IOM",7830
2017-18,Vietnam,7250
2017-18,Sri Lanka,5480
2017-18,South Africa,4680
2017-18,New Zealand,3010
2018-19,Others,78850
2018-19,India,73190
2018-19,Nepal,24060
2018-19,China,20170
2018-19,Philippines,18400
2018-19,Vietnam,7880
2018-19,Pakistan,7510
2018-19,"UK, CIs & IOM",7440
2018-19,Sri Lanka,6980
2018-19,South Africa,5990
2018-19,New Zealand,3330
2019-20,Others,68020
2019-20,India,59810
2019-20,Philippines,15350
2019-20,Nepal,13340
2019-20,"UK, CIs & IOM",10670
2019-20,Vietnam,7470
2019-20,Sri Lanka,6960
2019-20,South Africa,6380
2019-20,Pakistan,5600
2019-20,New Zealand,-360
2019-20,China,-18590
2020-21,South Africa,2560
2020-21,Philippines,1080
2020-21,Pakistan,-730
2020-21,Sri Lanka,-830
2020-21,"UK, CIs & IOM",-960
2020-21,Vietnam,-1420
2020-21,Nepal,-2090
2020-21,New Zealand,-2150
2020-21,India,-10650
2020-21,Others,-27000
2020-21,China,-50270
2021-22,Others,92650
2021-22,India,43080
2021-22,Nepal,20890
2021-22,China,14720
2021-22,Philippines,12870
2021-22,Vietnam,8240
2021-22,Pakistan,7110
2021-22,Sri Lanka,5940
2021-22,New Zealand,5340
2021-22,South Africa,4920
2021-22,"UK, CIs & IOM",2400
2022-23,Others,241850
2022-23,India,94840
2022-23,China,59530
2022-23,Philippines,43270
2022-23,Nepal,27970
2022-23,"UK, CIs & IOM",19300
