Visa,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24(g)
Student - vocational education and training,7990.0,10500.0,19970.0,31420.0,53570.0,25710.0,11000.0,10150.0,8460.0,9740.0,11180.0,15270.0,16300.0,19650.0,22650.0,11420.0,120.0,21470.0,38140.0,19840.0
Student - higher education,32750.0,42040.0,57940.0,73150.0,72080.0,56500.0,43020.0,41870.0,56500.0,79140.0,85070.0,89170.0,101440.0,106520.0,111310.0,75950.0,730.0,98410.0,177400.0,147520.0
Student - other,25440.0,20550.0,25810.0,29160.0,27110.0,24450.0,21330.0,21250.0,21260.0,25450.0,25870.0,27690.0,31670.0,31460.0,30390.0,23070.0,670.0,21540.0,62220.0,39410.0
Skilled (temporary),17100.0,27730.0,35850.0,44010.0,44060.0,26270.0,35600.0,47880.0,43460.0,32870.0,31490.0,30490.0,32690.0,26940.0,32600.0,22840.0,8950.0,24420.0,49250.0,48810.0
Working holiday,12930.0,17080.0,21630.0,29120.0,34300.0,33030.0,43460.0,54620.0,59250.0,54190.0,51600.0,50100.0,50330.0,50990.0,49090.0,43950.0,1020.0,20470.0,73670.0,79600.0
Visitors,35770.0,36100.0,37590.0,49990.0,42340.0,40260.0,41710.0,42720.0,47920.0,44440.0,50240.0,60550.0,72270.0,79430.0,91220.0,117740.0,7700.0,47410.0,108350.0,89970.0
Other (temporary),9320.0,7580.0,6780.0,6920.0,5720.0,5330.0,6450.0,7100.0,7220.0,7330.0,7480.0,8490.0,10120.0,12320.0,13410.0,18680.0,10390.0,32490.0,47600.0,39640.0
