Category,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24(g)
Other,75120.0,88490.0,101850.0,130040.0,126420.0,104890.0,127220.0,152320.0,157850.0,138830.0,140810.0,149630.0,165410.0,169680.0,186320.0,203210.0,28060.0,124790.0,278870.0,258020.0
Student,66180.0,73090.0,103720.0,133730.0,152760.0,106660.0,75350.0,73270.0,86220.0,114330.0,122120.0,132130.0,149410.0,157630.0,164350.0,110440.0,1520.0,141420.0,277760.0,206770.0
