Year,State,Net_Overseas_Migration
2009,Tasmania,481.5
2009,Victoria,18021.75
2009,Western Australia,8210.25
2010,Australian Capital Territory,500.25
2010,New South Wales,12511.0
2010,Northern Territory,271.75
2010,Queensland,7917.5
2010,South Australia,2723.5
2010,Tasmania,307.5
2010,Victoria,10803.5
2010,Western Australia,7974.25
2011,Australian Capital Territory,762.75
2011,New South Wales,13541.25
2011,Northern Territory,517.25
2011,Queensland,10230.5
2011,South Australia,2608.0
2011,Tasmania,311.75
2011,Victoria,12765.5
2011,Western Australia,10819.25
2012,Australian Capital Territory,888.75
2012,New South Wales,15783.75
2012,Northern Territory,1029.75
2012,Queensland,11816.0
2012,South Australia,2968.5
2012,Tasmania,395.5
2012,Victoria,14688.25
2012,Western Australia,12491.25
2013,Australian Capital Territory,662.0
2013,New South Wales,16895.75
2013,Northern Territory,798.25
2013,Queensland,8365.5
2013,South Australia,3033.5
2013,Tasmania,447.75
2013,Victoria,14625.75
2013,Western Australia,7265.25
2014,Australian Capital Territory,803.25
2014,New South Wales,17088.0
2014,Northern Territory,285.25
2014,Queensland,5758.25
2014,South Australia,2743.5
2014,Tasmania,431.25
2014,Victoria,14598.25
2014,Western Australia,3878.0
2015,Australian Capital Territory,817.5
2015,New South Wales,18209.5
2015,Northern Territory,386.0
2015,Queensland,4870.0
2015,South Australia,2812.75
2015,Tasmania,353.25
2015,Victoria,16047.75
2015,Western Australia,3185.25
2016,Australian Capital Territory,961.75
2016,New South Wales,24050.5
2016,Northern Territory,521.75
2016,Queensland,8106.75
2016,South Australia,3026.75
2016,Tasmania,569.25
2016,Victoria,20727.0
2016,Western Australia,2990.75
2017,Australian Capital Territory,1087.0
2017,New South Wales,23732.0
2017,Northern Territory,310.5
2017,Queensland,6909.25
2017,South Australia,3025.75
2017,Tasmania,642.75
2017,Victoria,21783.0
2017,Western Australia,2925.5
2018,Australian Capital Territory,954.0
2018,New South Wales,23221.5
2018,Northern Territory,139.0
2018,Queensland,8434.25
2018,South Australia,3491.0
2018,Tasmania,791.25
2018,Victoria,22384.25
2018,Western Australia,3637.5
2019,Australian Capital Territory,558.25
2019,New South Wales,19821.0
2019,Northern Territory,247.75
2019,Queensland,8478.75
2019,South Australia,4160.75
2019,Tasmania,991.75
2019,Victoria,21265.75
2019,Western Australia,6376.25
2020,Australian Capital Territory,-117.75
2020,New South Wales,1750.5
2020,Northern Territory,15.25
2020,Queensland,-249.75
2020,South Australia,1014.0
2020,Tasmania,157.0
2020,Victoria,-5104.25
2020,Western Australia,1289.0
2021,Australian Capital Territory,-194.5
